subj_idx,response,rt,phase
AL8,0,1.0635080000000001,0
AL8,0,0.569399,0
AL8,0,2.971168,0
AL8,0,0.79573,0
AL8,1,3.3540170000000002,0
AL8,1,1.624501,0
AL8,1,1.185361,0
AL8,1,1.469066,0
AL8,1,0.721666,0
AL8,1,0.704299,0
AL8,0,1.3773140000000001,0
AL8,0,1.36033,0
AL8,1,0.589932,0
AL8,1,1.0916240000000001,0
AL8,0,1.191789,0
AL8,1,0.40517200000000003,0
AL8,1,0.5481750000000001,0
AL8,1,1.6408070000000001,0
AL8,0,0.567512,0
AL8,1,0.632687,0
AL8,0,1.463999,0
AL8,0,0.500077,0
AL8,1,1.893894,0
AL8,1,1.387613,0
AL8,1,0.5226649999999999,0
AL8,0,1.742499,0
AL8,0,1.442768,0
AL8,1,0.803807,0
AL8,1,0.5370790000000001,0
AL8,0,2.397487,0
AL8,0,0.7176440000000001,0
AL8,0,1.3693730000000002,0
AL8,1,0.786003,0
AL8,1,1.719281,0
AL8,0,0.561262,0
AL8,1,1.5227819999999999,0
AL8,0,1.3710330000000002,0
AL8,0,0.603924,0
AL8,1,0.5606490000000001,0
AL8,1,1.54902,0
AL8,1,1.623876,0
AL8,0,0.470625,0
AL8,1,1.1457270000000002,0
AL8,0,1.4968,0
AL8,0,0.9217670000000001,0
AL8,0,1.266587,0
AL8,0,1.87283,0
AL8,1,0.632034,0
AL8,0,1.3406150000000001,0
AL8,1,1.6925270000000001,0
AL8,1,0.36582200000000004,0
AL8,0,0.5459980000000001,0
AL8,1,1.823464,0
AL8,1,0.909352,0
AL8,0,1.013719,0
AL8,0,0.7283240000000001,0
AL8,0,1.714606,0
AL8,0,0.466845,0
AL8,1,1.5940230000000002,0
AL8,0,1.1843510000000002,0
AL8,0,1.1026900000000002,0
AL8,0,0.6913480000000001,0
AL8,0,2.531027,0
AL8,0,0.41414100000000004,0
AL8,0,2.5060520000000004,0
AL8,0,3.410689,0
AL8,0,0.802841,0
AL8,1,0.828671,0
AL8,0,1.036891,0
AL8,0,0.9812180000000001,0
AL8,1,0.551918,0
AL8,1,2.7433850000000004,0
AL8,0,1.1389080000000003,0
AL8,1,0.82304,0
AL8,0,1.076073,0
AL8,1,1.841878,0
AL8,0,0.534124,0
AL8,0,1.146924,0
AL8,0,0.6787730000000001,0
AL8,0,0.39617900000000006,0
AL8,0,1.4248260000000001,0
AL8,0,0.784612,0
AL8,1,0.778915,0
AL8,1,0.743638,0
AL8,0,0.97139,0
AL8,1,0.6973320000000001,0
AL8,1,1.147453,0
AL8,1,1.2072060000000002,0
AL8,1,0.361845,0
AL8,0,1.320978,0
AL8,1,0.9225120000000001,0
AL8,0,0.384907,0
AL8,0,0.525556,0
AL8,1,1.878655,0
AL8,1,1.206412,0
AL8,1,1.634441,0
AL8,1,0.578226,0
AL8,0,0.436354,0
AL8,1,0.755188,0
AL8,1,0.527386,0
AL8,0,1.5316020000000001,0
AL8,1,1.149125,0
AL8,0,0.699602,0
AL8,0,1.6004829999999999,0
AL8,1,1.235945,0
AL8,1,0.45278500000000005,0
AL8,0,0.7208720000000001,0
AL8,0,0.602148,0
AL8,1,0.44185399999999997,0
AL8,1,0.7784780000000001,0
